City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,dunedin,-45.8742,170.5036,59.07,53,55,16.2,NZ,1675818467
255,shahr-e babak,30.1165,55.1186,44.17,75,100,6.96,IR,1675818467
256,leshukonskoye,64.8989,45.7622,31.91,97,100,10.83,RU,1675818468
257,constitucion,-35.3333,-72.4167,59.63,73,0,9.1,CL,1675818468
258,zhigansk,66.7697,123.3711,-50.17,99,100,6.24,RU,1675818418
259,daru,-9.0763,143.2092,83.73,72,98,12.95,PG,1675818469
260,biltine,14.5333,20.9167,68.85,21,87,18.99,TD,1675818469
261,salalah,17.0151,54.0924,67.84,74,98,3.47,OM,1675818279
262,grand gaube,-20.0064,57.6608,79.2,83,36,3.0,MU,1675818362
263,ostrovnoy,68.0531,39.5131,31.77,76,5,24.76,RU,1675818470
264,keti bandar,24.1447,67.4497,69.71,70,94,8.5,PK,1675818470
265,elizabeth city,36.2946,-76.2511,51.03,78,0,9.22,US,1675818471
266,nizhniy odes,63.6445,54.856,14.76,95,100,11.03,RU,1675818471
267,aksay,47.26,39.87,23.25,78,99,15.01,RU,1675818471
268,mar del plata,-38.0023,-57.5575,74.08,92,0,20.0,AR,1675818471
269,kochubey,44.3861,46.5825,27.55,97,100,11.92,RU,1675818472
270,talnakh,69.4865,88.3972,-7.62,98,100,6.78,RU,1675818472
271,sorong,-0.8833,131.25,79.81,82,100,4.23,ID,1675818472
272,mount gambier,-37.8333,140.7667,70.27,46,5,10.16,AU,1675818473
273,karratha,-20.7377,116.8463,90.73,45,19,6.29,AU,1675818473
274,tigzirt,36.8886,4.1198,53.73,64,100,5.46,DZ,1675818473
275,palu,-0.8917,119.8707,77.34,91,100,0.87,ID,1675818473
276,xichang,27.8964,102.2634,44.49,70,1,1.16,CN,1675818474
277,vila franca do campo,37.7167,-25.4333,55.81,81,95,10.04,PT,1675818474
278,iranshahr,27.2025,60.6848,64.71,36,45,2.93,IR,1675818475
279,tutoia,-2.7619,-42.2744,77.29,86,100,6.82,BR,1675818475
280,broken hill,-31.95,141.4333,83.7,18,0,11.97,AU,1675818475
281,tammisaari,59.9736,23.4339,36.9,98,100,10.8,FI,1675818475
282,luanda,-8.8368,13.2343,78.8,83,20,4.61,AO,1675818186
283,flin flon,54.7682,-101.865,27.12,88,26,9.01,CA,1675818476
284,sao filipe,14.8961,-24.4956,68.41,67,17,9.31,CV,1675818476
285,general roca,-39.0333,-67.5833,81.63,12,0,12.1,AR,1675818476
